jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
66846.00,100071.00,103724.00,77478.00,53041.00,39312.00,30866.00,24496.00,25163.00,26651.00,30444.00,45581.00
66878.00,74202.00,65450.00,49442.00,38377.00,33773.00,26256.00,20486.00,17207.00,24620.00,30538.00,56985.00
77037.00,65499.00,55603.00,50602.00,36427.00,26601.00,20766.00,16416.00,15483.00,20257.00,21674.00,42223.00
54978.00,49759.00,49062.00,40582.00,29050.00,21488.00,17530.00,12945.00,13217.00,14510.00,17359.00,44364.00
68592.00,87854.00,76737.00,68620.00,42947.00,32156.00,24086.00,23025.00,20450.00,37225.00,29638.00,37720.00
45063.00,40824.00,63573.00,45692.00,31969.00,24279.00,18641.00,16211.00,18886.00,16058.00,20533.00,39298.00
73607.00,56246.00,55200.00,49459.00,36405.00,28325.00,20255.00,16221.00,14039.00,23994.00,38392.00,58533.00
61560.00,56090.00,50603.00,39802.00,32101.00,24474.00,21430.00,17792.00,15514.00,20649.00,25329.00,44476.00
63641.00,65488.00,43577.00,38994.00,31309.00,23103.00,18029.00,14385.00,12970.00,15396.00,27721.00,43060.00
63809.00,86427.00,82209.00,50408.00,38584.00,28600.00,22676.00,19401.00,17280.00,17330.00,34528.00,40933.00
55671.00,49229.00,52146.00,48236.00,30571.00,24298.00,20679.00,19024.00,20970.00,26202.00,32748.00,48079.00
53875.00,63890.00,75535.00,58099.00,41365.00,39085.00,29534.00,20447.00,20355.00,22617.00,30756.00,46227.00
87624.00,83295.00,81647.00,53467.00,36358.00,30475.00,22897.00,18062.00,16606.00,25967.00,37360.00,47075.00
43919.00,59292.00,65371.00,44693.00,30168.00,22447.00,18047.00,14481.00,12453.00,14047.00,27241.00,33651.00
49979.00,83339.00,76592.00,75341.00,44588.00,31212.00,27347.00,18478.00,16254.00,20043.00,34559.00,66172.00
88893.00,73494.00,82812.00,57653.00,39245.00,33007.00,32036.00,21723.00,17660.00,22490.00,26491.00,36206.00
61810.00,72404.00,105727.00,67545.00,41876.00,30696.00,25626.00,21957.00,25759.00,27114.00,28970.00,50338.00
59952.00,65939.00,69804.00,50962.00,33347.00,28229.00,21256.00,19546.00,15273.00,17075.00,25637.00,55156.00
59577.00,83599.00,65041.00,47959.00,35795.00,27782.00,21296.00,16840.00,13967.00,17255.00,24387.00,39886.00
51005.00,75688.00,69027.00,51439.00,36518.00,26821.00,21372.00,15775.00,13251.00,19890.00,34054.00,49582.00
63230.00,77307.00,78257.00,57583.00,37090.00,28970.00,22920.00,18338.00,15389.00,17724.00,20130.00,31299.00
41513.00,60282.00,88930.00,52399.00,33827.00,28768.00,21223.00,16632.00,15791.00,18287.00,27555.00,34234.00
32618.00,35539.00,43355.00,45255.00,29217.00,22852.00,17176.00,13690.00,14070.00,20231.00,25550.00,39687.00
37501.00,54964.00,42481.00,36848.00,39634.00,29114.00,19106.00,13637.00,11249.00,12676.00,18328.00,28124.00
42901.00,36301.00,40224.00,39751.00,25567.00,23864.00,18691.00,13499.00,12536.00,13227.00,20966.00,40566.00
45383.00,36177.00,48453.00,36227.00,37224.00,37305.00,24330.00,25727.00,18205.00,16893.00,26767.00,50750.00
65894.00,71859.00,73905.00,67298.00,42322.00,31092.00,31806.00,27587.00,33555.00,24807.00,31797.00,48345.00
48859.00,67994.00,59250.00,51144.00,40716.00,34556.00,25874.00,19057.00,21904.00,23307.00,28119.00,36719.00
72914.00,62657.00,65744.00,51074.00,34193.00,26250.00,19820.00,17405.00,14027.00,16564.00,26730.00,33198.00
58187.00,69839.00,74467.00,51198.00,38942.00,30124.00,23772.00,19841.00,15508.00,18366.00,30098.00,47827.00
79871.00,85012.00,87631.00,58791.00,47555.00,33243.00,24890.00,19391.00,16602.00,15921.00,25294.00,32619.00
54650.00,71396.00,70437.00,45868.00,34146.00,27860.00,20665.00,17126.00,17398.00,26363.00,28154.00,57396.00
72887.00,68368.00,51710.00,38485.00,28354.00,22844.00,18225.00,14858.00,12483.00,14385.00,22996.00,19913.00
44224.00,68684.00,47061.00,37830.00,30144.00,22728.00,19319.00,15472.00,12506.00,20559.00,29757.00,45123.00
71347.00,88156.00,94753.00,62354.00,53252.00,35819.00,30953.00,23548.00,18470.00,32685.00,38343.00,58797.00
79971.00,87834.00,82023.00,55973.00,41604.00,31327.00,25445.00,20338.00,19230.00,25685.00,38445.00,46607.00
72569.00,79004.00,70350.00,51774.00,34337.00,30504.00,23500.00,18621.00,17209.00,16970.00,29718.00,45241.00
57668.00,55369.00,62811.00,39134.00,27140.00,20722.00,17130.00,16330.00,15390.00,18636.00,23370.00,42742.00
39461.00,46095.00,41779.00,31219.00,22458.00,22106.00,16353.00,12906.00,10917.00,22213.00,40907.00,44708.00
