jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
7405.00,3310.00,3531.00,2354.00,17547.00,16491.00,13112.00,5950.00,15388.00,7846.00,4507.00,5469.00
5286.00,8062.00,8953.00,22933.00,17060.00,14105.00,10025.00,7192.00,13528.00,13587.00,5955.00,8030.00
2996.00,3656.00,3178.00,1916.00,2373.00,2586.00,2758.00,4113.00,5912.00,11660.00,4892.00,2061.00
4137.00,9027.00,5655.00,7730.00,6636.00,5000.00,3942.00,5357.00,5872.00,6742.00,2838.00,5780.00
3064.00,2362.00,3918.00,2228.00,1448.00,4868.00,9545.00,13875.00,17283.00,36568.00,9482.00,10305.00
10380.00,3896.00,3193.00,2185.00,5976.00,24743.00,9470.00,15069.00,12746.00,13311.00,7337.00,4597.00
5286.00,4509.00,7938.00,6628.00,3954.00,3077.00,4704.00,6792.00,8245.00,12194.00,12552.00,5441.00
8179.00,13468.00,4449.00,6486.00,14045.00,18427.00,20291.00,6063.00,5421.00,4982.00,4838.00,3111.00
3943.00,4739.00,9118.00,5862.00,11305.00,8296.00,7351.00,4336.00,9999.00,5969.00,14587.00,20716.00
10377.00,7279.00,4148.00,8070.00,8306.00,5505.00,6164.00,8107.00,4749.00,7464.00,4286.00,6443.00
6540.00,12146.00,7158.00,7864.00,17089.00,12534.00,8458.00,16876.00,9608.00,9486.00,12074.00,9271.00
4552.00,10349.00,8018.00,10541.00,11103.00,8992.00,8457.00,7937.00,6334.00,7614.00,3002.00,2266.00
2079.00,3483.00,2623.00,1686.00,3209.00,11250.00,7867.00,12905.00,10929.00,8316.00,5088.00,2927.00
6160.00,3404.00,6847.00,3088.00,1594.00,2861.00,2651.00,1399.00,2540.00,2487.00,4479.00,3225.00
1250.00,2972.00,3557.00,1742.00,1336.00,2111.00,6656.00,4060.00,4046.00,4394.00,2893.00,3229.00
8896.00,20759.00,14038.00,5862.00,5703.00,9696.00,16849.00,6659.00,5681.00,10440.00,6500.00,8523.00
6679.00,9059.00,6520.00,3457.00,4515.00,8515.00,6572.00,8230.00,16540.00,13679.00,5702.00,7334.00
5056.00,8219.00,6958.00,7222.00,11772.00,6638.00,7873.00,17030.00,5574.00,7272.00,8067.00,2565.00
2767.00,1567.00,3554.00,6107.00,4505.00,8435.00,4978.00,5292.00,7711.00,6364.00,2996.00,2222.00
5639.00,5358.00,8407.00,3926.00,5101.00,4541.00,4185.00,8456.00,6247.00,19323.00,7233.00,5497.00
6540.00,12349.00,11423.00,3806.00,2132.00,2130.00,2801.00,1379.00,1557.00,15065.00,11068.00,6418.00
3613.00,3384.00,2230.00,1901.00,1042.00,7525.00,8814.00,3472.00,10227.00,16116.00,9954.00,4259.00
