Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,1,0,8.137166667,143.8333333,8.286833333,1.749127961,8.100133213
2011,2,1,1,7.847,149.8333333,7.984833333,2.491989253,7.586010343
2011,2,1,2,7.2145,152.5,7.323666667,2.606887386,6.843992373
2011,2,1,3,7.199,146.3333333,7.320333333,1.855769672,7.081200395
2011,2,1,4,7.8555,148.8333333,7.993,2.361628516,7.636148228
2011,2,1,5,7.745666667,150,7.896833333,2.486338464,7.495204982
2011,2,1,6,6.067833333,144.6666667,6.165666667,1.388921525,6.007190895
2011,2,1,7,7.688166667,138.8333333,7.724166667,0.966121766,7.663508298
2011,2,1,8,7.680833333,139,7.715333333,0.987279551,7.65190483
2011,2,1,9,7.438666667,138.1666667,7.463833333,0.847334964,7.41558032
2011,2,1,10,6.712833333,138.3333333,6.727833333,0.783220926,6.682088471
2011,2,1,11,6.548,144.6666667,6.574166667,1.480943114,6.405191243
2011,2,1,12,5.983333333,147.1666667,6.006,1.606910608,5.787043658
2011,2,1,13,5.5,145.3333333,5.519666667,1.305886912,5.362963685
2011,2,1,14,6.271,130,6.293166667,-0.180994859,6.290563374
2011,2,1,15,7.058,121.3333333,7.0805,-1.267802614,6.966071833
2011,2,1,16,7.6785,123.1666667,7.704,-1.136252549,7.619747118
2011,2,1,17,9.612166667,112.3333333,9.661333333,-3.195557235,9.117553166
2011,2,1,18,9.286,112.3333333,9.344333333,-3.090707148,8.818395249
2011,2,1,19,8.5195,113.6666667,8.5885,-2.651343246,8.169009196
2011,2,1,20,8.483,117,8.550833333,-2.162346756,8.272908025
2011,2,1,21,6.759333333,120.1666667,6.835833333,-1.360673429,6.699043602
2011,2,1,22,6.367166667,127.6666667,6.472666667,-0.449416296,6.457045669
2011,2,1,23,7.164833333,129.8333333,7.269833333,-0.230221747,7.266187077
2011,2,2,0,8.276166667,126.5,8.417333333,-0.755288829,8.383378747
2011,2,2,1,7.900666667,125.3333333,8.051,-0.885531206,8.002151928
2011,2,2,2,6.526666667,146.1666667,6.655333333,1.668451986,6.442804494
2011,2,2,3,7.557833333,153,7.718,2.810087372,7.188249645
2011,2,2,4,7.418,145,7.576,1.749536537,7.371220924
2011,2,2,5,8.627333333,147,8.7855,2.325934067,8.472015166
2011,2,2,6,7.4245,152.3333333,7.5275,2.658968876,7.042239755
2011,2,2,7,7.257166667,139,7.289166667,0.932745856,7.229241721
2011,2,2,8,8.209833333,136.8333333,8.2415,0.744835257,8.207773309
2011,2,2,9,8.573666667,136,8.605,0.652966661,8.580189948
2011,2,2,10,7.698166667,131,7.723,-0.087354626,7.722505951
2011,2,2,11,6.822166667,146.6666667,6.840166667,1.772508105,6.606519133
2011,2,2,12,5.654,142.5,5.670166667,1.067529542,5.568767432
2011,2,2,13,6.5305,133.6666667,6.551333333,0.230761639,6.547267942
2011,2,2,14,7.205166667,125.1666667,7.223333333,-0.815376913,7.177165522
2011,2,2,15,8.6815,117.3333333,8.7015,-2.151432717,8.431336757
2011,2,2,16,9.566166667,119.6666667,9.599,-1.992699125,9.38988558
2011,2,2,17,9.972333333,118.1666667,10.02466667,-2.337050495,9.74844279
