,,,,,132.2321227,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,1,0,7.612333333,142.8333333,7.419666667,1.365011796,7.293023807
2011,2,1,1,8.045833333,153.3333333,7.875833333,2.835430109,7.347726641
2011,2,1,2,8.334666667,152.8333333,8.13,2.860633393,7.610103586
2011,2,1,3,8.2865,149.8333333,8.08,2.443311445,7.701728974
2011,2,1,4,8.090166667,150.5,7.881666667,2.470588131,7.484441444
2011,2,1,5,8.597166667,146.8333333,8.366333333,2.109067335,8.09613293
2011,2,1,6,7.86,143.8333333,7.707833333,1.550034633,7.550370013
2011,2,1,7,7.596666667,137.5,7.545333333,0.692754579,7.513464327
2011,2,1,8,8.472,136.1666667,8.424666667,0.578073569,8.404810492
2011,2,1,9,7.6705,141.6666667,7.629833333,1.250687949,7.526628484
2011,2,1,10,6.966666667,142,6.9305,1.175807882,6.830029727
2011,2,1,11,6.543166667,144.3333333,6.504666667,1.36363326,6.360125217
2011,2,1,12,5.999833333,152.1666667,5.954,2.029994829,5.597252629
2011,2,1,13,5.6185,139.1666667,5.5725,0.672797774,5.531735659
2011,2,1,14,6.1115,136.8333333,6.078,0.487577068,6.058411723
2011,2,1,15,6.759,120,6.722666667,-1.424349865,6.570043727
2011,2,1,16,7.793166667,108.6666667,7.745666667,-3.096690261,7.099708553
2011,2,1,17,8.926166667,105.8333333,8.827,-3.924627673,7.906530631
2011,2,1,18,9.1875,107.6666667,9.0385,-3.757598495,8.220397545
2011,2,1,19,8.7355,113.1666667,8.586666667,-2.804818558,8.115653843
2011,2,1,20,8.508,116.1666667,8.3405,-2.30811113,8.014771566
2011,2,1,21,7.192,124.5,7.020833333,-0.944595247,6.95699939
2011,2,1,22,6.036666667,135.1666667,5.871833333,0.300608889,5.864133439
2011,2,1,23,7.133833333,129.6666667,6.935,-0.310415415,6.928049312
2011,2,2,0,7.896,121.6666667,7.657166667,-1.404008121,7.527347645
2011,2,2,1,7.6225,127,7.3915,-0.67403758,7.360702792
2011,2,2,2,7.1455,147.8333333,6.942833333,1.867206783,6.687037724
2011,2,2,3,6.675666667,152.8333333,6.482833333,2.281058981,6.068269766
2011,2,2,4,7.064666667,146,6.854833333,1.631374631,6.657879305
2011,2,2,5,7.481,151.6666667,7.275833333,2.420886179,6.861272535
2011,2,2,6,7.266833333,155,7.123666667,2.756849637,6.568592457
2011,2,2,7,7.501,145.5,7.458833333,1.711832764,7.25973989
2011,2,2,8,8.246333333,140.1666667,8.2,1.131941984,8.12149662
2011,2,2,9,8.547,136.6666667,8.497166667,0.657002146,8.471728841
2011,2,2,10,7.788833333,139.5,7.7525,0.980757036,7.690212733
2011,2,2,11,6.9465,152.8333333,6.906333333,2.430072295,6.464687831
2011,2,2,12,6.548333333,144,6.514333333,1.328580176,6.377414326
2011,2,2,13,6.6295,129.8333333,6.601666667,-0.276309745,6.595881723
2011,2,2,14,7.088666667,129.3333333,7.054,-0.356733749,7.044973884
2011,2,2,15,7.52,129.6666667,7.484333333,-0.335003957,7.476832069
2011,2,2,16,8.831333333,111.8333333,8.775,-3.058545939,8.224714083
2011,2,2,17,9.513666667,114.6666667,9.4,-2.836874422,8.961704275
2011,2,2,18,8.163166667,117.6666667,8.024333333,-2.018006486,7.766439033
2011,2,2,19,8.504833333,122,8.350333333,-1.483323979,8.217531062
2011,2,2,20,7.649,128.8333333,7.501833333,-0.444748306,7.488638214
2011,2,2,21,8.152666667,137.3333333,7.970833333,0.708729371,7.939262353
2011,2,2,22,9.019666667,140.6666667,8.788666667,1.289116709,8.693609141
2011,2,2,23,8.4795,141,8.288833333,1.263481493,8.191970004
2011,2,3,0,8.269166667,139.8333333,8.062833333,1.066530092,7.991983166
2011,2,3,1,7.259,152.5,7.091333333,2.456507165,6.652261344
2011,2,3,2,7.3945,151.3333333,7.178333333,2.34902247,6.783108644
2011,2,3,3,7.534166667,152.6666667,7.306,2.550795485,6.846245569
2011,2,3,4,8.2775,154.6666667,8.015833333,3.059064212,7.409163932
2011,2,3,5,8.0115,158.3333333,7.768833333,3.417961493,6.976554349
2011,2,3,6,7.2965,160.6666667,7.1215,3.390934045,6.262374035
2011,2,3,7,8.769166667,156.3333333,8.702666667,3.553731734,7.944016483
2011,2,3,8,9.8455,147.5,9.799833333,2.580611986,9.45395024
2011,2,3,9,10.72066667,141.3333333,10.67366667,1.688349172,10.53929017
2011,2,3,10,9.317333333,139.8333333,9.260666667,1.224976291,9.179290833
2011,2,3,11,8.044833333,135.6666667,7.987666667,0.478526794,7.973319942
2011,2,3,12,6.982166667,133.3333333,6.961,0.133780446,6.959714347
2011,2,3,13,7.086166667,126.8333333,7.051666667,-0.663472125,7.020385141
2011,2,3,14,7.3385,130.1666667,7.312166667,-0.263539267,7.307415988
2011,2,3,15,8.264833333,110.8333333,8.222666667,-3.000098416,7.655825012
2011,2,3,16,8.792166667,110.3333333,8.742833333,-3.260798624,8.111986626
2011,2,3,17,9.187166667,108.5,9.089833333,-3.658304114,8.321170653
2011,2,3,18,8.875666667,111.3333333,8.716333333,-3.109275267,8.142903296
