,,,,,129.8556495,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,1,0,7.588,133.1666667,7.970666667,0.460353776,7.957361467
2011,2,1,1,7.726666667,140.1666667,8.1155,1.452604707,7.984439856
2011,2,1,2,7.193166667,146.3333333,7.561166667,2.144663467,7.250631695
2011,2,1,3,8.077,137,8.5145,1.058944677,8.448393127
2011,2,1,4,7.782833333,139.6666667,8.222333333,1.401077189,8.102082951
2011,2,1,5,7.5725,146.3333333,8.017666667,2.274145981,7.68838337
2011,2,1,6,7.169333333,148.1666667,7.541833333,2.36945558,7.159953231
2011,2,1,7,6.441833333,137.8333333,6.564,0.91100043,6.500474922
2011,2,1,8,8.101666667,127.3333333,8.2125,-0.361419839,8.204543372
2011,2,1,9,7.236833333,131.5,7.3265,0.210236784,7.323482965
2011,2,1,10,6.71,127.6666667,6.787,-0.259233966,6.782047386
2011,2,1,11,5.882,137.1666667,5.976166667,0.760499089,5.927580381
2011,2,1,12,6.299,142.3333333,6.3755,1.377486318,6.224912184
2011,2,1,13,5.371666667,132.3333333,5.449166667,0.235568914,5.444072433
2011,2,1,14,5.15,119,5.2095,-0.981132687,5.116274905
2011,2,1,15,6.246333333,111.3333333,6.303666667,-2.002510977,5.977136709
2011,2,1,16,7.1785,108.1666667,7.279833333,-2.690394103,6.764447718
2011,2,1,17,8.810166667,103.8333333,9.003166667,-3.949879952,8.090454771
2011,2,1,18,8.636,96.16666667,8.864,-4.916722909,7.375386894
2011,2,1,19,7.853333333,103.3333333,8.079833333,-3.608020066,7.229515744
2011,2,1,20,7.3195,108.1666667,7.557333333,-2.792949248,7.022301731
2011,2,1,21,6.356833333,116.5,6.616166667,-1.528300391,6.437232269
2011,2,1,22,5.8445,128.6666667,6.116333333,-0.126914985,6.115016437
2011,2,1,23,6.960166667,116.1666667,7.302833333,-1.728225188,7.095393744
2011,2,2,0,6.631333333,114.6666667,6.991,-1.831667264,6.746782643
2011,2,2,1,6.055333333,121.8333333,6.401333333,-0.893362338,6.338688522
2011,2,2,2,6.358333333,144.5,6.733833333,1.702436634,6.515076428
2011,2,2,3,7.2735,141,7.681333333,1.484659559,7.536489088
2011,2,2,4,7.158666667,139.3333333,7.581166667,1.248341015,7.477682311
2011,2,2,5,7.598,144.8333333,8.0495,2.08033537,7.7760308
2011,2,2,6,7.026,147.6666667,7.366833333,2.253355056,7.013745387
2011,2,2,7,6.999833333,138.3333333,7.146833333,1.053616097,7.068742449
2011,2,2,8,8.3545,126.1666667,8.478833333,-0.545531706,8.461265263
2011,2,2,9,8.357833333,126.6666667,8.483333333,-0.471923735,8.470196717
2011,2,2,10,7.9735,125.1666667,8.077666667,-0.660323941,8.050631719
2011,2,2,11,6.455833333,130.6666667,6.5335,0.092478088,6.532845479
2011,2,2,12,5.86,137.5,5.931666667,0.789051735,5.878951166
2011,2,2,13,6.0645,138.1666667,6.124,0.88520259,6.059685831
2011,2,2,14,6.621,123,6.680666667,-0.797460133,6.632900154
2011,2,2,15,6.802833333,121.8333333,6.865666667,-0.958164136,6.798477791
2011,2,2,16,8.3165,106.3333333,8.4605,-3.376638217,7.757472179
2011,2,2,17,9.220166667,104.8333333,9.41,-3.980159256,8.526806688
2011,2,2,18,8.682833333,106.8333333,8.914666667,-3.48643366,8.204636623
2011,2,2,19,8.711833333,112.5,8.991333333,-2.682133263,8.581971584
2011,2,2,20,7.414666667,118.1666667,7.7045,-1.560923994,7.544722429
2011,2,2,21,7.7745,126,8.086166667,-0.543738106,8.067864664
2011,2,2,22,6.724,141.3333333,7.022166667,1.397314597,6.88173936
2011,2,2,23,6.582666667,142.1666667,6.928333333,1.477247146,6.769013491
2011,2,3,0,7.595,134.3333333,7.983333333,0.623265218,7.95896674
2011,2,3,1,7.320333333,139.1666667,7.707833333,1.24707793,7.60627973
2011,2,3,2,7.406166667,142,7.797333333,1.640366851,7.622834361
2011,2,3,3,7.410833333,141.3333333,7.809833333,1.554049431,7.65365449
2011,2,3,4,8.768666667,139,9.2415,1.468680806,9.124050578
2011,2,3,5,8.731166667,144.8333333,9.213833333,2.381248944,8.900807725
2011,2,3,6,7.561,151.5,7.950333333,2.932433922,7.389765314
2011,2,3,7,7.248333333,148.5,7.380166667,2.359386485,6.992864609
2011,2,3,8,8.727166667,141.5,8.846333333,1.785509539,8.664269682
2011,2,3,9,9.343666667,131.5,9.476333333,0.271927093,9.472431002
2011,2,3,10,8.714833333,133.5,8.817833333,0.560488257,8.800002136
2011,2,3,11,7.885333333,127.5,7.978666667,-0.327941212,7.971924256
2011,2,3,12,6.976833333,119.5,7.056666667,-1.268490489,6.941719984
2011,2,3,13,6.2785,122.1666667,6.342666667,-0.848621081,6.285639403
2011,2,3,14,6.310666667,116.3333333,6.406833333,-1.498071879,6.229229006
2011,2,3,15,7.17,107,7.25,-2.815978143,6.680775935
2011,2,3,16,8.38,105.1666667,8.535833333,-3.56535247,7.755560099
2011,2,3,17,9.874333333,100.6666667,10.06866667,-4.910406158,8.790105794
2011,2,3,18,9.033833333,102.5,9.273,-4.261058691,8.23601286
2011,2,3,19,7.951333333,112.3333333,8.218833333,-2.47450366,7.837477464
2011,2,3,20,7.952333333,119.3333333,8.221166667,-1.501336963,8.082918328
2011,2,3,21,8.391333333,124,8.704166667,-0.888021224,8.658749082
2011,2,3,22,8.373,128.1666667,8.7315,-0.257352591,8.727706566
2011,2,3,23,7.608,125.6666667,7.941666667,-0.58011036,7.920450834
2011,2,4,0,7.647666667,126,8.045,-0.540969936,8.026791173
2011,2,4,1,8.225,124.5,8.652666667,-0.80761964,8.614893555
2011,2,4,2,6.415833333,137.3333333,6.770833333,0.881156411,6.713251627
2011,2,4,3,5.978666667,125,6.3525,-0.537711579,6.329701613
2011,2,4,4,6.795333333,128.3333333,7.146833333,-0.189864943,7.144310883
2011,2,4,5,7.173833333,133.1666667,7.5115,0.433834149,7.498961273
2011,2,4,6,6.7655,136.5,7.095333333,0.820972985,7.047677523
2011,2,4,7,6.349166667,124,6.4755,-0.660646981,6.441711404
2011,2,4,8,8.543333333,118.5,8.6895,-1.710949427,8.519393306
2011,2,4,9,8.5455,119.3333333,8.644333333,-1.578615016,8.498968961
2011,2,4,10,8.057166667,121.1666667,8.165666667,-1.23359333,8.071948935
2011,2,4,11,7.5495,125.8333333,7.623666667,-0.534762177,7.60488809
2011,2,4,12,6.851833333,117.8333333,6.913166667,-1.439961835,6.76153705
